,Date,Location,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
432,12/04/2021,NV,54.8,66.8
433,12/04/2021,ID,45.4,51.0
434,12/04/2021,WY,46.0,54.1
435,12/04/2021,MT,52.2,60.3
436,12/04/2021,MA,71.8,86.5
437,12/04/2021,IH2,38.1,47.5
438,12/04/2021,ND,49.2,58.5
439,12/04/2021,AL,46.4,56.9
440,12/04/2021,FL,61.8,72.2
441,12/04/2021,WA,65.5,73.3
442,12/04/2021,WI,60.0,66.2
443,12/04/2021,LA,49.1,55.9
444,12/04/2021,NM,64.0,77.4
445,12/04/2021,FM,41.6,46.8
446,12/04/2021,RI,73.3,84.0
447,12/04/2021,KS,55.0,66.7
448,12/03/2021,MI,54.9,61.5
449,12/03/2021,US,59.7,70.7
450,12/03/2021,TN,49.7,57.1
451,12/03/2021,IA,57.0,62.9
452,12/03/2021,DC,64.9,82.1
453,12/03/2021,OR,64.3,71.8
454,12/03/2021,UT,55.9,65.0
455,12/03/2021,NH,65.0,88.5
456,12/03/2021,GA,49.8,59.3
457,12/03/2021,OK,51.8,63.2
458,12/03/2021,KS,54.9,66.5
459,12/03/2021,AS,66.2,75.1
460,12/03/2021,MA,71.6,86.3
461,12/03/2021,NM,63.9,77.2
462,12/03/2021,VA2,0.0,0.0
463,12/03/2021,NE,57.7,64.3
464,12/03/2021,KY,52.4,60.5
465,12/03/2021,CA,63.6,79.3
466,12/03/2021,MP,70.4,78.3
467,12/03/2021,AL,46.4,56.9
468,12/03/2021,GU,73.6,81.1
469,12/03/2021,CO,63.6,71.9
470,12/03/2021,IL,61.7,69.3
471,12/03/2021,SD,55.0,67.6
472,12/03/2021,LA,49.0,55.8
473,12/03/2021,RP,73.7,85.4
474,12/03/2021,WI,59.8,66.1
475,12/03/2021,IH2,38.0,47.4
476,12/03/2021,PR,74.3,85.3
477,12/03/2021,NY,68.8,78.8
478,12/03/2021,CT,72.3,84.5
479,12/03/2021,MD,68.0,77.3
480,12/03/2021,IN,50.8,56.0
481,12/03/2021,ND,49.1,58.4
482,12/03/2021,WY,45.8,54.0
483,12/03/2021,WV,49.0,69.0
484,12/03/2021,VT,73.2,85.8
485,12/03/2021,AR,49.6,60.8
486,12/03/2021,NC,54.5,70.8
487,12/03/2021,AK,54.5,63.2
488,12/03/2021,PA,58.8,82.2
489,12/03/2021,NJ,68.2,79.7
490,12/03/2021,MH,28.3,32.0
491,12/03/2021,SC,51.6,60.6
492,12/03/2021,ME,72.7,82.4
493,12/03/2021,VA,65.4,76.0
494,12/03/2021,FM,41.6,46.8
495,12/03/2021,ID,45.4,50.9
496,12/03/2021,MO,51.2,60.1
497,12/03/2021,FL,61.6,72.1
498,12/03/2021,AZ,55.0,64.7
499,12/03/2021,HI,61.4,82.5
